source_id,species,ionization_stage,source_kind,wavelength_source_value,source_unit,wavelength_nm,wavelength_medium,reference_status,source_reported_intensity,source_url,notes
NE_I_626,Ne,I,NIST persistent lines,6266.4950,Angstrom,626.64950,air,source-reported persistent line,100,https://physics.nist.gov/PhysRefData/Handbook/Tables/neontable3.htm,Visible persistent line
NE_I_638,Ne,I,NIST persistent lines,6382.9917,Angstrom,638.29917,air,source-reported persistent line,100,https://physics.nist.gov/PhysRefData/Handbook/Tables/neontable3.htm,Visible persistent line
NE_I_640,Ne,I,NIST persistent lines,6402.248,Angstrom,640.2248,air,source-reported persistent line,200,https://physics.nist.gov/PhysRefData/Handbook/Tables/neontable3.htm,Visible persistent line
NE_I_650,Ne,I,NIST persistent lines,6506.5281,Angstrom,650.65281,air,source-reported persistent line,150,https://physics.nist.gov/PhysRefData/Handbook/Tables/neontable3.htm,Visible persistent line
NE_I_659,Ne,I,NIST persistent lines,6598.9529,Angstrom,659.89529,air,source-reported persistent line,100,https://physics.nist.gov/PhysRefData/Handbook/Tables/neontable3.htm,Visible persistent line
NE_I_692,Ne,I,NIST persistent lines,6929.4673,Angstrom,692.94673,air,source-reported persistent line,1000,https://physics.nist.gov/PhysRefData/Handbook/Tables/neontable3.htm,Visible persistent line
NE_I_703,Ne,I,NIST persistent lines,7032.4131,Angstrom,703.24131,air,source-reported persistent line,800,https://physics.nist.gov/PhysRefData/Handbook/Tables/neontable3.htm,Visible persistent line
NE_I_717,Ne,I,NIST persistent lines,7173.9381,Angstrom,717.39381,air,source-reported persistent line,800,https://physics.nist.gov/PhysRefData/Handbook/Tables/neontable3.htm,Visible persistent line
NE_I_724,Ne,I,NIST persistent lines,7245.1666,Angstrom,724.51666,air,source-reported persistent line,800,https://physics.nist.gov/PhysRefData/Handbook/Tables/neontable3.htm,Visible persistent line
HG_I_404,Hg,I,NIST persistent lines,4046.563,Angstrom,404.6563,air,source-reported persistent line,400,https://physics.nist.gov/PhysRefData/Handbook/Tables/mercurytable3.htm,Visible persistent line
HG_I_435,Hg,I,NIST persistent lines,4358.328,Angstrom,435.8328,air,source-reported persistent line,1000,https://physics.nist.gov/PhysRefData/Handbook/Tables/mercurytable3.htm,Visible persistent line
HG_I_546,Hg,I,NIST persistent lines,5460.735,Angstrom,546.0735,air,source-reported persistent line,500,https://physics.nist.gov/PhysRefData/Handbook/Tables/mercurytable3.htm,Visible persistent line
